X,Y,yr,doy,top,bed,thk
-859190.4598046835,-823917.0441955478,2014,84,560.6476,560.6476,0
-859188.9035760155,-823931.6142335176,2014,84,544.9906,544.9906,0
-859187.3689339318,-823946.0037098826,2014,84,533.6998,533.6998,0
-859185.8911801192,-823960.6494860557,2014,84,528.4414,528.4414,0
-859184.3343488799,-823975.2196701623,2014,84,525.8125,525.8125,0
-859182.8561899841,-823989.8655459597,2014,84,520.7984,520.7984,0
-859181.3495163308,-824004.2252244212,2014,84,511.7141,511.7141,0
-859179.8709553737,-824018.8711992868,2014,84,506.7589,506.7589,0
-859178.4065736053,-824033.5022288519,2014,84,505.4556,505.4556,0
-859176.913688768,-824047.8470571843,2014,84,504.1975,504.1975,0
-859175.5421587481,-824062.5388373742,2014,84,502.9467,502.9467,0
-859174.0915559182,-824077.1550217174,2014,84,501.7255,485.1455,16.58
-859172.6769473467,-824091.5756447571,2014,84,500.5458,472.3958,28.15
-859171.2041279514,-824106.3725458886,2014,84,506.617,474.377,32.24
-859169.8178886164,-824120.7632776862,2014,84,520.9266,479.9866,40.94
-859168.4741160884,-824135.4253227889,2014,84,528.286,481.886,46.4
-859167.1445253746,-824150.0724245164,2014,84,530.9777,477.5877,53.39
-859165.7720776137,-824164.4483114228,2014,84,533.7025,470.2525,63.46
-859164.4420867662,-824179.0955157198,2014,84,535.0802,461.8902,73.2
-859163.140663897,-824193.7127815248,2014,84,536.6432,458.5132,78.13
-859161.9179032494,-824208.4057539863,2014,84,536.8679,458.0579,78.81
-859160.6522990115,-824222.8275078296,2014,84,535.9238,456.4338,79.49
-859159.4216850243,-824237.6862131923,2014,84,537.3909,455.0909,82.3
-859158.1844563378,-824252.0780804697,2014,84,541.6527,455.7727,85.88
-859157.0040505191,-824266.7262798469,2014,84,543.2001,457.3201,85.88
-859155.8378304295,-824281.3595378244,2014,84,543.5625,459.9025,83.67
-859154.6857968371,-824295.9778544629,2014,84,545.3255,460.8955,84.44
-859153.6268085383,-824310.6568897661,2014,84,545.7558,462.5958,83.15
-859152.5031495215,-824325.2453246563,2014,84,548.6201,469.9801,78.65
-859151.4725359129,-824339.8944798404,2014,84,556.8038,476.5438,80.25
-859150.4561104438,-824354.5286954229,2014,84,562.3014,478.5414,83.75
-859149.4538738795,-824369.1479714544,2014,84,562.8387,478.3987,84.44
-859148.5446814965,-824383.8279717163,2014,84,562.1821,477.7421,84.44
-859147.5708243335,-824398.417369548,2014,84,562.758,472.298,90.46
-859146.6900114776,-824413.0674932086,2014,84,564.7118,464.0818,100.64
-859145.801518735,-824427.8833094608,2014,84,566.5501,456.1001,110.45
-859144.9997366838,-824442.2929371833,2014,84,568.5587,450.2887,118.28
-859144.2184739271,-824457.1545466526,2014,84,569.2345,444.7945,124.44
-859143.4876653146,-824471.8055939064,2014,84,568.7224,435.0024,133.72
-859142.7284701852,-824486.1704080907,2014,84,569.4492,427.9692,141.48
-859142.0686270965,-824501.0628799142,2014,84,571.546,427.326,144.22
-859141.3947895343,-824515.6541238928,2014,84,572.3151,423.2351,149.08
-859140.6988689303,-824530.4260616886,2014,84,571.8919,416.9519,154.94
-859140.146658408,-824545.0481113548,2014,84,571.5011,416.7811,154.72
-859139.5942528252,-824559.6702213372,2014,84,572.3533,416.1933,156.16
-859139.0704352534,-824574.2624020233,2014,84,574.5833,412.7133,161.87
-859138.5245259147,-824589.0352807698,2014,84,575.4835,406.6835,168.79
-859138.1079460263,-824603.6732681175,2014,84,575.1951,397.1251,178.07
-859137.6048179205,-824618.4012859875,2014,84,574.9264,387.1164,187.81
-859137.2310254127,-824632.994412647,2014,84,574.6866,376.9166,197.77
-859136.8495252485,-824647.7532468472,2014,84,575.6751,369.5351,206.14
-859136.5610622907,-824662.5728273413,2014,84,578.0356,364.1356,213.9
-859136.2442597122,-824677.1061626999,2014,84,579.0812,356.7412,222.34
-859135.9985849394,-824691.8808869718,2014,84,578.9238,350.8838,228.04
-859135.7671074258,-824706.6406812465,2014,84,578.788,350.818,227.97
-859135.6005361299,-824721.1749121384,2014,84,578.6779,351.4579,227.22
-859135.4118527941,-824735.8898510166,2014,84,578.5884,347.7984,230.79
-859135.3162069308,-824750.6655420595,2014,84,578.523,344.853,233.67
-859135.2066409474,-824765.1399862492,2014,84,578.4834,346.3234,232.16
-859135.1681887821,-824779.8558293589,2014,84,578.4659,347.6759,230.79
-859135.143938695,-824794.5567439584,2014,84,578.4727,349.0627,229.41
-859135.2127262005,-824809.3184150276,2014,84,579.7258,353.1958,226.53
-859135.2456737013,-824823.9594838343,2014,84,582.3308,357.1808,225.15
-859135.3572638882,-824838.676305261,2014,84,583.6295,359.8495,223.78
-859135.4974548301,-824853.3632048392,2014,84,583.7318,363.5218,220.21
-859135.6443035286,-824868.2008335849,2014,84,583.8601,367.8401,216.02
-859135.8636451155,-824882.6472383699,2014,84,584.0071,371.5471,212.46
-859136.07525035,-824897.2593670341,2014,84,584.1769,373.0969,211.08
-859136.3723402988,-824912.0979169017,2014,84,585.5923,373.8223,211.77
-859136.7055885813,-824926.740888481,2014,84,588.3552,375.1452,213.21
-859137.0454877716,-824941.5345941711,2014,84,589.8141,377.3041,212.52
-859137.4215522402,-824956.1327200402,2014,84,590.0699,380.4299,209.64
-859137.8974913439,-824970.9422793547,2014,84,590.3529,382.0929,208.26
-859138.3307749286,-824985.4805652767,2014,84,591.8831,382.2331,209.65
-859138.8351326437,-825000.2602770084,2014,84,594.7616,381.5516,213.21
-859139.3824977308,-825014.9950760122,2014,84,596.3425,378.2425,218.1
-859139.9660448775,-825029.5342926353,2014,84,596.708,373.618,223.09
-859140.6494584817,-825044.2849509717,2014,84,597.1,371.94,225.16
